title = "Plot for node 200035"
VARIABLES =  "Time""Displacement X ""Displacement Y ""Displacement Z ""Displacement Al""Displacement Be""Displacement Ga"
ZONE T= "ONE"  I=  5001  F=POINT
  0.1840086E+01  0.2587073E-02  0.2259033E-02  0.5108630E+00 -0.1502437E+01  0.1657199E+01  0.2565871E-01
  0.1859777E+01 -0.2001460E-02  0.2142864E-02  0.5044192E+00 -0.1502556E+01  0.1657646E+01  0.2782442E-01
  0.1879986E+01 -0.6227235E-02  0.1902327E-02  0.4882575E+00 -0.1502680E+01  0.1658729E+01  0.2664172E-01
  0.1900196E+01 -0.9659392E-02  0.1561073E-02  0.4643585E+00 -0.1502783E+01  0.1659917E+01  0.2264647E-01
  0.1919887E+01 -0.1272103E-01  0.1249560E-02  0.4408582E+00 -0.1502858E+01  0.1660705E+01  0.1890387E-01
  0.1940096E+01 -0.1647373E-01  0.1057458E-02  0.4232302E+00 -0.1502932E+01  0.1660835E+01  0.1751651E-01
  0.1959787E+01 -0.2141591E-01  0.9863581E-03  0.4138301E+00 -0.1503055E+01  0.1660178E+01  0.1819326E-01
  0.1979996E+01 -0.2783616E-01  0.9477804E-03  0.4099371E+00 -0.1503260E+01  0.1658851E+01  0.1937733E-01
  0.2000206E+01 -0.3488313E-01  0.9180913E-03  0.4096909E+00 -0.1503501E+01  0.1657391E+01  0.2064732E-01
  0.2019897E+01 -0.4068825E-01  0.7393918E-03  0.3946303E+00 -0.1503807E+01  0.1656479E+01  0.1518018E-01
  0.2040106E+01 -0.4391662E-01  0.5164999E-03  0.3604390E+00 -0.1504011E+01  0.1656146E+01  0.5889740E-02
  0.2059797E+01 -0.4604389E-01  0.2765878E-03  0.3277363E+00 -0.1504175E+01  0.1656196E+01  0.2937777E-02
  0.2080007E+01 -0.4692900E-01  0.2786532E-04  0.2986674E+00 -0.1504276E+01  0.1656497E+01  0.3061904E-02
  0.2100216E+01 -0.4542791E-01 -0.1558838E-03  0.2694399E+00 -0.1504255E+01  0.1656849E+01  0.2806436E-02
  0.2119907E+01 -0.4148694E-01 -0.2799538E-03  0.2376547E+00 -0.1504112E+01  0.1656863E+01  0.1430251E-02
  0.2140117E+01 -0.3602282E-01 -0.4108860E-03  0.2017585E+00 -0.1503923E+01  0.1656469E+01 -0.1249308E-02
  0.2159808E+01 -0.3074823E-01 -0.5270986E-03  0.1668106E+00 -0.1503768E+01  0.1656120E+01 -0.4082562E-02
  0.2180017E+01 -0.2634170E-01 -0.6222713E-03  0.1352421E+00 -0.1503654E+01  0.1656303E+01 -0.5047032E-02
  0.2200226E+01 -0.2311342E-01 -0.7078300E-03  0.1084067E+00 -0.1503573E+01  0.1657244E+01 -0.3360458E-02
  0.2219918E+01 -0.2079610E-01 -0.6851406E-03  0.8167629E-01 -0.1503524E+01  0.1658649E+01 -0.1301826E-02
  0.2240127E+01 -0.1902842E-01 -0.5293312E-03  0.4725949E-01 -0.1503534E+01  0.1659881E+01 -0.1539863E-02
  0.2259818E+01 -0.1804234E-01 -0.4194981E-03  0.5430613E-02 -0.1503630E+01  0.1660330E+01 -0.4490631E-02
  0.2280027E+01 -0.1804670E-01 -0.3638667E-03 -0.4182254E-01 -0.1503807E+01  0.1660235E+01 -0.8278109E-02
  0.2300237E+01 -0.1917765E-01 -0.2302948E-03 -0.8821784E-01 -0.1504044E+01  0.1659698E+01 -0.1038515E-01
  0.2319928E+01 -0.2072759E-01 -0.5007683E-04 -0.1317068E+00 -0.1504307E+01  0.1658734E+01 -0.1090853E-01
  0.2340137E+01 -0.2091503E-01  0.1717318E-03 -0.1773720E+00 -0.1504490E+01  0.1658251E+01 -0.1165904E-01
  0.2359828E+01 -0.1814490E-01  0.6413208E-03 -0.2263748E+00 -0.1504453E+01  0.1658787E+01 -0.1270740E-01
  0.2380038E+01 -0.1340732E-01  0.1584888E-02 -0.2850544E+00 -0.1504295E+01  0.1659238E+01 -0.1720059E-01
  0.2400247E+01 -0.1066645E-01  0.2798013E-02 -0.3480716E+00 -0.1504323E+01  0.1659096E+01 -0.2721250E-01
  0.2419938E+01 -0.1275499E-01  0.3652606E-02 -0.3972463E+00 -0.1504637E+01  0.1659072E+01 -0.3415360E-01
  0.2440147E+01 -0.1918720E-01  0.3752585E-02 -0.4229753E+00 -0.1505108E+01  0.1659141E+01 -0.3130238E-01
  0.2459839E+01 -0.2621233E-01  0.3502763E-02 -0.4320708E+00 -0.1505510E+01  0.1658932E+01 -0.2382394E-01
  0.2480048E+01 -0.3072218E-01  0.3429424E-02 -0.4433289E+00 -0.1505769E+01  0.1658671E+01 -0.2017663E-01
  0.2500257E+01 -0.3130849E-01  0.3732644E-02 -0.4653230E+00 -0.1505892E+01  0.1658641E+01 -0.2269023E-01
  0.2519948E+01 -0.2861328E-01  0.4321611E-02 -0.4922155E+00 -0.1505905E+01  0.1658857E+01 -0.2738549E-01
  0.2540158E+01 -0.2341954E-01  0.4851477E-02 -0.5159189E+00 -0.1505813E+01  0.1659386E+01 -0.3075073E-01
